ÅR,Måned,regnr,navn,Attribute,Value
2016,12,50018,ULYKKESFORSIKRINGSFORBUNDET FOR DANSK SØFART. GENSIDIGT FORBUND,Bruttoerstatningsprocent (Loss ratio),194.0
2016,12,50018,ULYKKESFORSIKRINGSFORBUNDET FOR DANSK SØFART. GENSIDIGT FORBUND,Bruttoomkostningsprocent (Expense ratio),29.0
2016,12,50018,ULYKKESFORSIKRINGSFORBUNDET FOR DANSK SØFART. GENSIDIGT FORBUND,Combined ratio,225.0
2016,12,50018,ULYKKESFORSIKRINGSFORBUNDET FOR DANSK SØFART. GENSIDIGT FORBUND,Egenkapitalforrentning i pct. (Return on equity),-1.0
2016,12,50018,ULYKKESFORSIKRINGSFORBUNDET FOR DANSK SØFART. GENSIDIGT FORBUND,Operating ratio,225.0
2016,12,50018,ULYKKESFORSIKRINGSFORBUNDET FOR DANSK SØFART. GENSIDIGT FORBUND,Relativt afløbsresultat,3.0
2016,12,50043,Forsikrings-Aktieselskabet ALKA,Bruttoerstatningsprocent (Loss ratio),71.0
2016,12,50043,Forsikrings-Aktieselskabet ALKA,Bruttoomkostningsprocent (Expense ratio),18.0
2016,12,50043,Forsikrings-Aktieselskabet ALKA,Combined ratio,91.0
2016,12,50043,Forsikrings-Aktieselskabet ALKA,Egenkapitalforrentning i pct. (Return on equity),9.0
2016,12,50043,Forsikrings-Aktieselskabet ALKA,Operating ratio,91.0
2016,12,50043,Forsikrings-Aktieselskabet ALKA,Relativt afløbsresultat,7.0
2016,12,50052,NEM Forsikring A/S,Bruttoerstatningsprocent (Loss ratio),69.0
2016,12,50052,NEM Forsikring A/S,Bruttoomkostningsprocent (Expense ratio),27.0
2016,12,50052,NEM Forsikring A/S,Combined ratio,102.0
2016,12,50052,NEM Forsikring A/S,Egenkapitalforrentning i pct. (Return on equity),15.0
2016,12,50052,NEM Forsikring A/S,Operating ratio,102.0
2016,12,50052,NEM Forsikring A/S,Relativt afløbsresultat,12.0
2016,12,50074,ULFBORG-HIND HERREDS BRANDASSURANCESELSKAB FOR LØSØRE. GENSIDIG,Bruttoerstatningsprocent (Loss ratio),20.0
2016,12,50074,ULFBORG-HIND HERREDS BRANDASSURANCESELSKAB FOR LØSØRE. GENSIDIG,Bruttoomkostningsprocent (Expense ratio),177.0
2016,12,50074,ULFBORG-HIND HERREDS BRANDASSURANCESELSKAB FOR LØSØRE. GENSIDIG,Combined ratio,236.0
2016,12,50074,ULFBORG-HIND HERREDS BRANDASSURANCESELSKAB FOR LØSØRE. GENSIDIG,Egenkapitalforrentning i pct. (Return on equity),1.0
2016,12,50074,ULFBORG-HIND HERREDS BRANDASSURANCESELSKAB FOR LØSØRE. GENSIDIG,Operating ratio,236.0
2016,12,50074,ULFBORG-HIND HERREDS BRANDASSURANCESELSKAB FOR LØSØRE. GENSIDIG,Relativt afløbsresultat,6.0
2016,12,50099,Lokal Forsikring G/S,Bruttoerstatningsprocent (Loss ratio),64.0
2016,12,50099,Lokal Forsikring G/S,Bruttoomkostningsprocent (Expense ratio),24.0
2016,12,50099,Lokal Forsikring G/S,Combined ratio,96.0
2016,12,50099,Lokal Forsikring G/S,Egenkapitalforrentning i pct. (Return on equity),12.0
2016,12,50099,Lokal Forsikring G/S,Operating ratio,96.0
2016,12,50099,Lokal Forsikring G/S,Relativt afløbsresultat,14.0
2016,12,50102,VESTJYLLAND FORSIKRING GS.,Bruttoerstatningsprocent (Loss ratio),63.0
2016,12,50102,VESTJYLLAND FORSIKRING GS.,Bruttoomkostningsprocent (Expense ratio),18.0
2016,12,50102,VESTJYLLAND FORSIKRING GS.,Combined ratio,87.0
2016,12,50102,VESTJYLLAND FORSIKRING GS.,Egenkapitalforrentning i pct. (Return on equity),13.0
2016,12,50102,VESTJYLLAND FORSIKRING GS.,Operating ratio,87.0
2016,12,50102,VESTJYLLAND FORSIKRING GS.,Relativt afløbsresultat,17.0
2016,12,50134,FORSIKRINGSSELSKABET TRAFIK GENSIDIGT,Bruttoerstatningsprocent (Loss ratio),86.0
2016,12,50134,FORSIKRINGSSELSKABET TRAFIK GENSIDIGT,Bruttoomkostningsprocent (Expense ratio),16.0
2016,12,50134,FORSIKRINGSSELSKABET TRAFIK GENSIDIGT,Combined ratio,116.0
2016,12,50134,FORSIKRINGSSELSKABET TRAFIK GENSIDIGT,Egenkapitalforrentning i pct. (Return on equity),0.0
2016,12,50134,FORSIKRINGSSELSKABET TRAFIK GENSIDIGT,Operating ratio,116.0
2016,12,50134,FORSIKRINGSSELSKABET TRAFIK GENSIDIGT,Relativt afløbsresultat,17.0
2016,12,50140,HF-Forsikring G/S,Bruttoerstatningsprocent (Loss ratio),70.0
2016,12,50140,HF-Forsikring G/S,Bruttoomkostningsprocent (Expense ratio),35.0
2016,12,50140,HF-Forsikring G/S,Combined ratio,108.0
2016,12,50140,HF-Forsikring G/S,Egenkapitalforrentning i pct. (Return on equity),3.0
2016,12,50140,HF-Forsikring G/S,Operating ratio,107.0
2016,12,50140,HF-Forsikring G/S,Relativt afløbsresultat,14.0
2016,12,50149,Europæiske Rejseforsikring A/S,Bruttoerstatningsprocent (Loss ratio),52.0
2016,12,50149,Europæiske Rejseforsikring A/S,Bruttoomkostningsprocent (Expense ratio),36.0
2016,12,50149,Europæiske Rejseforsikring A/S,Combined ratio,91.0
2016,12,50149,Europæiske Rejseforsikring A/S,Egenkapitalforrentning i pct. (Return on equity),16.0
2016,12,50149,Europæiske Rejseforsikring A/S,Operating ratio,91.0
2016,12,50149,Europæiske Rejseforsikring A/S,Relativt afløbsresultat,9.0
2016,12,50167,Storstrøms Forsikring G/S,Bruttoerstatningsprocent (Loss ratio),66.0
2016,12,50167,Storstrøms Forsikring G/S,Bruttoomkostningsprocent (Expense ratio),32.0
2016,12,50167,Storstrøms Forsikring G/S,Combined ratio,101.0
2016,12,50167,Storstrøms Forsikring G/S,Egenkapitalforrentning i pct. (Return on equity),4.0
2016,12,50167,Storstrøms Forsikring G/S,Operating ratio,101.0
2016,12,50167,Storstrøms Forsikring G/S,Relativt afløbsresultat,12.0
2016,12,50192,Kongeriget Danmarks Hesteforsikring G/S,Bruttoerstatningsprocent (Loss ratio),78.0
2016,12,50192,Kongeriget Danmarks Hesteforsikring G/S,Bruttoomkostningsprocent (Expense ratio),59.0
2016,12,50192,Kongeriget Danmarks Hesteforsikring G/S,Combined ratio,137.0
2016,12,50192,Kongeriget Danmarks Hesteforsikring G/S,Egenkapitalforrentning i pct. (Return on equity),-5.0
2016,12,50192,Kongeriget Danmarks Hesteforsikring G/S,Operating ratio,137.0
2016,12,50192,Kongeriget Danmarks Hesteforsikring G/S,Relativt afløbsresultat,21.0
